Gene ID,Res_ss_1,Res_ss_2,Res_ss_3,ift_pH_1,ift_pH_2,ift_pH_3,ift_ss_1,ift_ss_2,ift_ss_3
Cre04.g800433_4532,1.07,1.62,0.56,0.19,0,0.56,1.11,1.42,0.98
Cre04.g800434_4532,0,0,0,0,0,0,0,0.19,0.44
Cre04.g800435_4532,0.31,0.47,0.39,4.49,5.66,5.55,7.65,2.16,8.92
Cre04.g800436_4532,0.49,2.76,0.11,2.06,0.29,1.07,3.41,1.43,3.03
Cre04.g800437_4532,0.24,0.27,0.13,0.88,0.51,1.35,2.86,1.34,2.69
Cre04.g800438_4532,6.75,7.08,6.29,8.31,5.23,5.29,11.31,11.48,14.08
Cre04.g800439_4532,0,0,0.09,0,0,0,0.09,0,0
Cre04.g800440_4532,0,0,0,0.08,0,0.2,0.07,0,0
Cre04.g800443_4532,0.43,0.29,0.73,0.25,0.27,0.34,0.4,0.75,0.68
Cre04.g800458_4532,0,0,0,0,0,0,0,0,0
Cre04.g800459_4532,0.27,0.4,0.07,1.27,0.5,0.42,0.97,0.92,2.06
Cre04.g800460_4532,0.45,0.28,0.19,2.9,1.37,1.34,1.54,1.35,2.43
Cre04.g800462_4532,0.52,0.47,0.3,0.92,1.02,0.76,0.42,1.09,1.19
Cre04.g800463_4532,0.84,1.48,1.74,0.22,0,1.54,0.65,4.37,3.03
Cre04.g800464_4532,0.15,0,0,0,0,0,0,0.29,0.15
Cre04.g800465_4532,2.3,2.77,3.1,5.2,5.19,3.58,3.89,1.29,1.36
Cre04.g800466_4532,2.06,2.89,0.26,5.07,3.28,4.52,6.72,1.41,4.94
Cre04.g800467_4532,3.94,6.94,3.79,11.47,18.18,12.46,14.71,5.95,17.31
Cre04.g800468_4532,0.21,0.21,0.43,0.44,0,0.65,3.44,1.03,0.43
Cre04.g800469_4532,0.22,0.55,0.16,14.34,47.17,26.2,2.84,4.08,7.25
Cre04.g800471_4532,22.75,21.68,12.32,186.78,302.34,205.83,50.54,56.21,103.98
Cre04.g800472_4532,0.69,1.19,0.43,1.66,2.69,1.71,2.66,0.76,1.89
Cre04.g800477_4532,3.93,3.37,2.07,11.73,11.48,11.59,10.77,5.92,7.31
Cre04.g800482_4532,0,0.05,0,0.1,0,0.2,0.05,0.05,0.29
Cre04.g800483_4532,1.01,0.64,3.34,2.08,1.49,3.39,1.97,5.7,3.65
Cre04.g800484_4532,0.5,0.84,3.18,0.53,0.89,1.39,0.9,4.59,1.99
Cre04.g800487_4532,0.32,0.32,1.31,0.45,0.08,0.07,0.4,1.46,0.47
Cre04.g800488_4532,0,0.03,0.03,0,0,0,0,0,0
Cre04.g800490_4532,10.44,18.7,4.82,54.05,92.75,37.04,15.17,5.2,15.41
Cre04.g800491_4532,0,0,0,0,0.12,0.18,0.28,0.11,0.2
Cre04.g800492_4532,0,0,0.14,0,0.14,0,0,0,0
Cre04.g800493_4532,0,0,0.22,0,0,0,0,0,0
Cre04.g800494_4532,1.08,1.82,0.3,3.54,1.48,2.59,4.61,1.55,3.43
Cre04.g800495_4532,5.32,8.18,3.41,7.92,7.32,6.78,10.06,5.93,8.23
Cre04.g800496_4532,4.53,5.53,1.66,42.8,39.55,29.04,7.27,3.6,6.12
Cre04.g800498_4532,0.32,0.12,0.18,0.15,0.11,0.19,0.15,0.42,0.15
Cre04.g800499_4532,0,0.17,0.06,0.06,0,0.19,0.18,0,0.06
Cre04.g800500_4532,0.08,0,0.04,0.95,0.25,0.55,0.57,0.29,0.18
Cre04.g800501_4532,2.22,3.21,1.42,5.2,8.54,8.34,8.15,5.36,8.88
Cre04.g800502_4532,3.85,5.49,1.71,14.41,17.54,11.75,13.79,3.54,12.27
Cre04.g800503_4532,0.63,0.94,0.7,1.66,2.67,2.54,1.9,1.83,2.56
Cre05.g230600_4532,2.77,2.58,2.46,5.37,4.05,4.71,8.8,2.85,3.6
Cre05.g230650_4532,0.88,0.89,1.28,1.31,1.32,0.37,1.65,6.66,2.37
Cre05.g230700_4532,0.12,0.2,0,0.5,0.59,0.64,0.51,0.13,0.24
Cre05.g230800_4532,0.06,0.02,0.17,0.05,0.04,0.11,0.4,0.18,0.06
Cre05.g230804_4532,0.05,0.05,0.05,0.17,0.06,0.22,0.49,0.26,0.27
Cre05.g230850_4532,3.63,3.14,1.99,2.77,8.76,6.92,2.75,3.64,4.69
Cre05.g230900_4532,2.21,0.98,2.99,3.18,1.21,3.03,2.54,3.13,2.85
Cre05.g230950_4532,0.29,0.17,0.7,0.36,0.09,0.49,0.65,0.5,0.52
Cre05.g231000_4532,0.72,1.09,1.05,4.31,3.13,2.37,2.89,2.15,2.79
Cre05.g231050_4532,0.3,0.59,0.65,1.01,0.27,0.46,0.76,1.44,0.99
Cre05.g231100_4532,0,0,0.02,0.07,0.05,0,0.12,0.09,0.05
Cre05.g232000_4532,2.96,4.07,2.55,4.13,2.24,2.42,3.41,5.26,5.58
Cre05.g232002_4532,3.98,3.81,2.78,1.43,3.3,2.63,0.19,1.89,2.47
Cre05.g232004_4532,0.29,0.09,0.49,0.49,0.43,0.34,0.29,1.23,1.47
Cre05.g232050_4532,1.21,1.97,0.6,3.82,2.41,2.09,2.4,2.69,3.33
Cre05.g232100_4532,0.31,0.83,1.71,0.11,0,0.11,0.21,1.13,1.17
Cre05.g232150_4532,1.05,1.76,2.5,8.2,11.05,9.63,0.76,5.21,9.02
Cre05.g232200_4532,1.26,0.87,16.83,1.73,0.59,0.83,0.53,10.1,3.85
Cre05.g232300_4532,0.24,0.36,0.65,0.21,0,0.08,0.32,0.72,0.56
Cre05.g232450_4532,0.64,0.47,0.6,23.76,17.03,12.98,5.62,4.52,7.63
Cre05.g232500_4532,1.34,2.49,0.97,0.19,0.14,0.11,0.24,0.1,0.17
Cre05.g232550_4532,17.95,25.11,14,16.72,16.69,9.77,17.6,13.69,19.88
Cre05.g232600_4532,0.1,0.36,0.22,60.66,106.25,49.89,47.66,22.86,22.08
